Sample	Total	DEL	DUP	INV	BND
4054649052	32	4	6	0	22
1002336041	44	2	12	0	30
4067243040	34	3	7	0	24
4067242972	32	2	12	0	18
4067257845	49	4	11	0	34
4067259658	64	3	9	4	48
4067259667	47	2	7	2	36
4069529331	126	18	23	3	82
4068413252	30	3	6	1	20
4068409479	38	4	7	1	26
4068415348	42	5	7	2	28
4069319871	52	7	7	0	38
1002336068	50	1	15	0	34
4068416331	77	8	16	1	52
4068416241	43	2	13	2	26
4068416247	56	4	13	1	38
4068419560	29	4	9	0	16
4068419651	31	1	8	0	22
4069517562	41	4	13	0	24
4069526424	106	11	23	4	68
